label,training_step,requests,conversation_turns,verify_steps,num_draft_token_slots,draft_token_1_acceptance_pct,draft_token_2_acceptance_pct,draft_token_3_acceptance_pct,draft_token_4_acceptance_pct,draft_token_5_acceptance_pct,draft_token_6_acceptance_pct,draft_token_7_acceptance_pct,overall_draft_acceptance_pct,average_acceptance_length,average_accepted_draft_tokens,source_results
iter_0002001,2001,880,1036,740412,7,72.17900304154983,47.75895042219737,30.798123207079303,19.97847144562757,12.890525815356856,7.705304614187776,4.155794341528771,27.9237389839325,2.9560609498495434,1.9546617288752748,/scratch/s6p/jamie.s6p/torchspec-qwen35-9b/outputs/eval-iter2001-speed-bench-qualitative/results.json
iter_0004001,4001,880,1036,636973,7,76.06413458655233,53.38468035536828,37.753562552886855,28.239658509858344,21.47469358983819,15.67633164985015,10.52116808718737,34.73060419022022,3.432768735880485,2.4311422933154154,/scratch/s6p/jamie.s6p/torchspec-qwen35-9b/outputs/eval-iter4001-speed-bench-qualitative/results.json
iter_0006001,6001,880,1036,622407,7,76.7730761382825,54.410217108740746,39.2919745439881,29.562649520329945,22.874582066075735,17.048008778821576,11.364589408538142,35.903585366396676,3.514915481349021,2.5132509756477677,/scratch/s6p/jamie.s6p/torchspec-qwen35-9b/outputs/eval-iter6001-speed-bench-qualitative/results.json
iter_0008334,8334,880,1036,612765,7,77.42233972240582,55.27812456651408,40.25882679330575,30.737558444101737,24.07333969792661,18.04296916436154,12.401817988951718,36.88785376822389,3.5838404608618313,2.5821497637756727,/scratch/s6p/jamie.s6p/torchspec-qwen35-9b/outputs/eval-iter8334-speed-bench-qualitative/results.json
iter_0010001,10001,880,1036,601634,7,78.44104555261173,56.53387275320211,41.53987307898157,31.87901614602898,24.859798482133655,18.807613931393504,12.98962492146388,37.86440640940221,3.652230425807052,2.6505084486581545,/scratch/s6p/jamie.s6p/torchspec-qwen35-9b/outputs/eval-iter10001-speed-bench-qualitative/results.json
iter_0012001,12001,880,1036,587382,7,79.13317057723934,57.33662250460518,42.20030576354059,32.189103513556766,25.30244372486729,19.426029398245095,13.628098920293779,38.45939634319258,3.6939215025315724,2.6921577440234805,/scratch/s6p/jamie.s6p/torchspec-qwen35-9b/outputs/eval-iter12001-speed-bench-qualitative/results.json
z-lab/Qwen3.5-9B-DFlash,reference,880,1036,543618,15,80.69545158548834,58.73333848400899,42.66488600451052,32.08760563483917,24.40592474862863,18.89065483482887,14.73829049074902,20.577770910210234,4.088571386525096,3.086665636531535,/scratch/s6p/jamie.s6p/torchspec-qwen35-9b/outputs/eval-zlab-qwen35-9b-dflash-speed-bench-qualitative/results.json
